Height,Width,CenterX,CenterY,Area,Perimeter,Compactness,MajorAxis,MinorAxis,Orientation,Eccentricity,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,Class
368,336,165.8518742,173.771007,82889,2261.76,0.796383145,379.3124199,327.0904031,-75.12556592,0.506356011,0.18917204,0.000774072,0.000990383,1.19E-06,3.10E-11,1.83E-08,2.60E-11,0
336,351,172.3936931,161.9450354,82544,1744.056,0.658984183,357.1670925,335.6090157,-33.86036456,0.342160616,0.181884696,0.00012799,0.000550617,8.98E-07,9.00E-12,8.50E-09,1.90E-11,0
436,342,180.5170321,199.6752132,87482,3472.3,0.908821155,446.1903379,318.0530794,-72.08638482,0.701347746,0.214510188,0.00489572,0.002374356,3.98E-05,2.39E-09,6.57E-07,-6.44E-09,0
480,338,181.1040538,219.340143,87522,3425.461,0.90626775,481.4225342,301.3241033,-72.04324657,0.779900422,0.230344392,0.010134453,0.003033105,8.80E-05,7.31E-09,1.99E-06,-3.76E-09,0
460,342,188.3787723,210.4401567,83702,2931.202,0.877579485,465.1754201,303.7444805,-67.9072816,0.757385836,0.22594584,0.008628898,0.00309442,8.77E-05,-4.30E-09,-3.04E-07,-5.20E-08,0
439,341,186.1503291,200.8466739,83417,2220.889,0.787474657,452.1207476,300.2524497,-66.56679874,0.747645603,0.22070881,0.007330475,0.002915956,8.80E-05,-5.63E-09,-6.93E-07,-4.76E-08,0
413,346,186.8983285,192.0667869,83160,2893.833,0.875210681,432.8135741,309.6539973,-64.59295295,0.698669791,0.212860378,0.004722364,0.002204126,2.42E-05,-5.02E-09,-1.23E-06,-1.94E-08,0
393,365,196.7304937,182.3432375,86395,3135.201,0.889549498,421.6050808,319.8048042,-55.56970459,0.651625137,0.202582407,0.002981645,0.001750798,1.76E-05,-2.79E-09,-9.53E-07,-1.70E-08,0
490,364,210.1363631,223.8560862,90985,2683.124,0.841182566,507.9831231,298.9359388,-62.41879065,0.808514597,0.238651224,0.01342822,0.003762078,0.000167961,-3.44E-08,-4.32E-06,-2.95E-07,0
469,396,218.1009376,216.0765789,93642,3467.89,0.902152459,481.9294636,305.790819,-53.7645854,0.772911663,0.217424889,0.008575775,0.002147951,7.75E-05,-1.76E-08,-5.94E-06,-4.47E-08,0
487,363,206.1714739,226.2081033,86952,3885.344,0.927618015,494.6525764,294.8424029,-61.48366204,0.802940214,0.238358312,0.012857033,0.003031266,9.46E-05,-5.04E-08,-9.73E-06,-9.95E-08,0
476,354,198.0322366,219.7155931,82825,3054.972,0.888478952,473.7375501,297.59891,-62.88151428,0.778057046,0.231710098,0.010638834,0.00300905,8.42E-05,-3.51E-08,-6.06E-06,-7.81E-08,0
399,372,195.6127631,195.7033433,86531,2044.092,0.739756009,423.3026959,310.9117018,-52.31252894,0.678619243,0.199251218,0.00355362,0.001304845,3.56E-05,3.30E-09,-2.32E-07,-6.80E-09,0
444,371,210.3794238,201.8271033,91465,2392.033,0.799122882,468.2776727,315.5103615,-56.08741918,0.73894324,0.217871146,0.006695753,0.002438563,5.73E-05,-1.81E-08,-3.54E-06,-1.77E-07,0
489,365,190.9296563,243.1171934,101004,3485.69,0.895534974,490.0250953,314.2507544,-68.24555129,0.767294228,0.209700551,0.007651701,0.001647732,3.96E-05,-9.51E-09,-3.46E-06,-3.57E-09,0
602,342,165.4733174,293.3473083,115206,3613.377,0.889118674,587.772807,305.7564126,-83.1988355,0.854047582,0.238142276,0.018688515,0.002629112,0.000158251,4.65E-08,8.41E-06,8.63E-08,0
564,347,169.7278812,282.2619749,120565,2409.79,0.739100817,553.4398451,324.8474284,-85.23158125,0.809615439,0.213488794,0.010831466,0.001651589,6.59E-05,1.69E-09,5.95E-07,3.03E-08,0
527,346,167.6635255,265.7200224,114077,2269.081,0.721575174,521.2614579,326.3875772,-85.08866544,0.77970306,0.207236686,0.008190746,0.001333191,3.72E-05,-2.70E-09,-6.76E-07,1.32E-08,0
488,386,188.76316,252.184808,125000,2137.279,0.656127505,480.9297668,371.1521669,-76.11072785,0.635939625,0.184527285,0.002187145,0.000619005,1.07E-05,3.54E-10,-2.12E-07,-1.44E-09,0
465,397,190.7123782,242.4348231,124469,2031.668,0.621064247,460.5058223,380.2092178,-75.07084085,0.564206225,0.17907729,0.001149043,0.000430121,5.17E-06,1.78E-10,-1.31E-08,-1.10E-09,0
446,418,200.4644094,236.4548481,126761,1944.052,0.578517288,449.9101587,395.8423216,-60.35408012,0.475297291,0.177062735,0.000508466,0.000274851,7.66E-06,2.97E-10,1.68E-07,-8.91E-10,0
659,420,220.6008002,329.6535738,154206,4622.511,0.909310871,650.2062461,365.3533396,-75.62160862,0.827202609,0.225453763,0.013747716,0.002207976,9.43E-05,-1.77E-08,-3.51E-06,3.55E-08,0
586,434,227.5240253,296.2786573,147615,4280.792,0.898773994,584.5634264,380.0337048,-68.97346669,0.759835459,0.205832311,0.00697762,0.001386937,4.26E-05,-6.60E-09,-3.33E-06,-8.68E-09,0
561,459,238.2883184,287.3527826,157281,3997.67,0.876327755,564.8307512,403.6218829,-62.52366512,0.699544464,0.191514334,0.003849099,0.000875293,3.47E-05,3.00E-09,-3.37E-07,-4.62E-09,0
592,405,210.5031723,297.1453135,140276,3801.683,0.878033254,586.7625247,360.3409283,-73.77519758,0.789214881,0.211252088,0.009128853,0.001626809,4.91E-05,-1.32E-08,-3.86E-06,2.28E-09,0
